flight_id,date,carrier,origin,dest,sched_dep_local,dep_hour,predicted_delay_min,predicted_delay_bucket,actual_delay_bucket,dep_delay_min,delay_risk,risk_threshold_used,prob_on_time,prob_15_30_min,prob_30_60_min,prob_60_90_min,prob_90plus_min,prev_arr_delay_min,inbound_delay_after_buffer_min,had_late_inbound,tight_turnaround,turnaround_buffer_min,weather_severity_score,snowfall_cm,precip_mm,wind_gust_kmh,is_fog_code,is_thunderstorm_code,origin_recent_delay_rate,carrier_recent_delay_rate,route_recent_delay_rate,is_evening_bank,origin_hour_congestion_pctile,date_ordinal
2015-01-11_F91285,2015-01-11,F9,ORD,LAS,21:35,21,30.0,4,4,193.0,0.9663,0.82,0.0337,0.0541,0.0506,0.0562,0.8053,228.0,13.0,1,0,215.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.56,0.35,0.58,0,0.17792159069592947,6
2015-01-10_MQ3107,2015-01-10,MQ,ORD,GRR,19:10,19,25.0,2,3,80.0,0.9559,0.82,0.0441,0.1399,0.3302,0.23,0.2558,56.0,0.0,1,0,104.0,1.038,0.0,0.0,34.6,0,0,0.58,0.41,0.5306122448979592,1,0.17792159069592947,5
2015-01-11_MQ2975,2015-01-11,MQ,ORD,HSV,20:20,20,46.8,4,4,184.0,0.9554,0.82,0.0446,0.1094,0.0782,0.1121,0.6557,84.0,0.0,1,0,148.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.54,0.4,,1,0.6072969424123054,6
2015-01-11_OO5641,2015-01-11,OO,DEN,COS,20:00,20,13.1,4,4,194.0,0.9443,0.82,0.0557,0.0134,0.0168,0.0133,0.9008,242.0,45.0,1,0,197.0,0.204,0.0,0.0,6.8,0,0,0.58,0.4,0.5319148936170213,1,0.06660631143300569,6
2015-01-11_UA278,2015-01-11,UA,ORD,MDT,18:35,18,25.8,4,4,175.0,0.944,0.82,0.056,0.0944,0.166,0.2924,0.3911,78.0,0.0,1,0,159.0,0.6940000000000001,0.07,0.0,17.3,0,0,0.66,0.51,0.6875,1,0.8659726130181955,6
2015-01-11_UA1160,2015-01-11,UA,ORD,SFO,20:20,20,49.1,4,4,124.0,0.9436,0.82,0.0564,0.1169,0.0637,0.1286,0.6344,0.0,,0,0,,1.7980000000000003,0.28,0.4,16.6,0,0,0.56,0.68,0.68,1,0.6072969424123054,6
2015-01-11_UA1132,2015-01-11,UA,DEN,LAX,17:47,17,14.6,2,3,80.0,0.9164,0.82,0.0836,0.1152,0.3449,0.2951,0.1612,64.0,0.0,1,0,68.0,0.162,0.0,0.0,5.4,0,0,0.54,0.39,0.36,1,0.37558199689601657,6
2015-01-11_UA426,2015-01-11,UA,ORD,LGA,20:31,20,48.3,4,2,45.0,0.9141,0.82,0.0859,0.1418,0.0468,0.0667,0.6589,25.0,0.0,1,0,101.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.52,0.67,0.34,1,0.6072969424123054,6
2015-01-11_UA1155,2015-01-11,UA,ORD,MIA,19:19,19,46.1,4,2,52.0,0.9136,0.82,0.0864,0.1118,0.2493,0.13,0.4225,53.0,,1,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.6,0.6,0.42,1,0.17792159069592947,6
2015-01-10_UA672,2015-01-10,UA,ORD,SFO,16:15,16,17.6,2,1,18.0,0.9114,0.82,0.0886,0.2837,0.3009,0.1488,0.178,41.0,0.0,1,0,100.0,1.038,0.0,0.0,34.6,0,0,0.4,0.44,0.7,1,0.31804539486025135,5
2015-01-11_UA1134,2015-01-11,UA,ORD,CLE,19:15,19,48.6,4,4,151.0,0.9068,0.82,0.0932,0.0516,0.1416,0.143,0.5706,99.0,,1,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.6,0.59,0.54,1,0.17792159069592947,6
2015-01-11_F91260,2015-01-11,F9,ORD,TPA,14:25,14,14.9,4,4,183.0,0.9049,0.82,0.0951,0.0066,0.0064,0.0089,0.8831,186.0,131.0,1,0,55.0,0.7769999999999999,0.0,0.0,25.9,0,0,0.3,0.32,0.62,0,0.10307634590133183,6
2015-01-11_MQ3019,2015-01-11,MQ,ORD,OKC,21:50,21,37.5,4,4,125.0,0.9039,0.82,0.0961,0.1011,0.151,0.1177,0.5341,68.0,0.0,1,0,156.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.56,0.47,0.68,0,0.17792159069592947,6
2015-01-11_MQ3139,2015-01-11,MQ,ORD,DBQ,21:50,21,39.5,4,4,115.0,0.9024,0.82,0.0976,0.0696,0.1574,0.1053,0.5701,138.0,0.0,1,0,177.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.56,0.48,0.4444444444444444,0,0.17792159069592947,6
2015-01-10_EV4713,2015-01-10,EV,ORD,ERI,16:47,16,15.4,4,3,68.0,0.9,0.82,0.1,0.2351,0.2256,0.1425,0.2967,61.0,0.0,1,0,79.0,1.038,0.0,0.0,34.6,0,0,0.36,0.21,0.5,1,0.31804539486025135,5
2015-01-10_EV4755,2015-01-10,EV,ORD,CAE,19:35,19,15.5,1,3,79.0,0.899,0.82,0.101,0.2776,0.231,0.1523,0.2381,54.0,0.0,1,0,90.0,1.038,0.0,0.0,34.6,0,0,0.56,0.2,0.4,1,0.17792159069592947,5
2015-01-10_MQ3435,2015-01-10,MQ,ORD,HPN,18:50,18,17.2,1,0,-3.0,0.8955,0.82,0.1045,0.3693,0.2525,0.1155,0.1582,32.0,,1,0,,1.026,0.0,0.0,34.2,0,0,0.62,0.41,0.38235294117647056,1,0.5639654848996436,5
2015-01-11_AA154,2015-01-11,AA,ORD,MCO,19:55,19,37.0,4,2,47.0,0.8922,0.82,0.1078,0.1507,0.2149,0.1301,0.3966,86.0,0.0,1,0,270.0,1.8070000000000002,0.28,0.4,16.9,0,0,0.54,0.35,0.5,1,0.17792159069592947,6
2015-01-11_MQ3185,2015-01-11,MQ,ORD,COU,19:55,19,43.2,4,2,48.0,0.892,0.82,0.108,0.1117,0.1426,0.074,0.5637,37.0,0.0,1,0,116.0,1.8070000000000002,0.28,0.4,16.9,0,0,0.56,0.36,0.7692307692307693,1,0.17792159069592947,6
2015-01-11_UA1530,2015-01-11,UA,ORD,IAH,18:50,18,22.2,2,3,70.0,0.8877,0.82,0.1123,0.2363,0.2671,0.2273,0.1569,17.0,0.0,1,0,200.0,0.6940000000000001,0.07,0.0,17.3,0,0,0.64,0.56,0.64,1,0.8659726130181955,6
2015-01-10_UA1620,2015-01-10,UA,ORD,LGA,19:45,19,19.1,3,3,64.0,0.8873,0.82,0.1127,0.2283,0.2223,0.2471,0.1896,27.0,0.0,1,0,57.0,1.038,0.0,0.0,34.6,0,0,0.56,0.4,0.56,1,0.17792159069592947,5
2015-01-11_OO6255,2015-01-11,OO,DEN,EUG,18:53,18,16.2,2,2,58.0,0.8825,0.82,0.1175,0.1638,0.2853,0.2344,0.199,61.0,0.0,1,0,114.0,0.174,0.0,0.0,5.8,0,0,0.64,0.28,0.8333333333333334,1,0.539187790998448,6
2015-01-11_MQ3003,2015-01-11,MQ,ORD,MSN,18:05,18,21.3,3,3,79.0,0.8736,0.82,0.1264,0.1807,0.1522,0.2994,0.2413,82.0,0.0,1,0,176.0,0.6940000000000001,0.07,0.0,17.3,0,0,0.6,0.3,0.36,1,0.8659726130181955,6
2015-01-11_MQ3107,2015-01-11,MQ,ORD,GRR,21:10,21,36.4,4,3,63.0,0.8718,0.82,0.1282,0.1786,0.2301,0.1612,0.302,124.0,0.0,1,0,224.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.54,0.42,0.44,0,0.17792159069592947,6
2015-01-11_OO6505,2015-01-11,OO,DEN,TUS,18:55,18,15.4,4,4,109.0,0.8708,0.82,0.1292,0.0852,0.0536,0.1747,0.5574,105.0,0.0,1,0,124.0,0.174,0.0,0.0,5.8,0,0,0.64,0.31,0.5116279069767442,1,0.539187790998448,6
2015-01-11_UA1535,2015-01-11,UA,ORD,SNA,20:01,20,43.8,4,0,6.0,0.8684,0.82,0.1316,0.1097,0.1114,0.0691,0.5782,-15.0,0.0,0,0,226.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.56,0.64,0.41935483870967744,1,0.6072969424123054,6
2015-01-11_MQ3174,2015-01-11,MQ,ORD,LIT,21:55,21,36.5,4,4,91.0,0.8671,0.82,0.1329,0.1537,0.0634,0.0834,0.5665,37.0,0.0,1,0,175.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.58,0.49,0.6842105263157895,0,0.17792159069592947,6
2015-01-11_MQ3421,2015-01-11,MQ,ORD,FNT,21:25,21,35.7,4,3,69.0,0.8664,0.82,0.1336,0.1734,0.2011,0.1776,0.3143,66.0,0.0,1,0,340.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.52,0.45,0.5757575757575758,0,0.17792159069592947,6
2015-01-10_MQ2951,2015-01-10,MQ,ORD,DSM,19:45,19,22.9,2,1,24.0,0.866,0.82,0.134,0.2131,0.305,0.1693,0.1786,58.0,0.0,1,0,200.0,1.038,0.0,0.0,34.6,0,0,0.56,0.41,0.44,1,0.17792159069592947,5
2015-01-10_MQ3280,2015-01-10,MQ,ORD,RST,19:15,19,20.1,1,3,87.0,0.8626,0.82,0.1374,0.3094,0.2591,0.1022,0.1919,24.0,0.0,1,0,126.0,1.038,0.0,0.0,34.6,0,0,0.56,0.41,0.6818181818181818,1,0.17792159069592947,5
2015-01-11_MQ2997,2015-01-11,MQ,ORD,BNA,19:05,19,38.0,4,0,4.0,0.8624,0.82,0.1376,0.1214,0.1337,0.0449,0.5624,26.0,0.0,1,0,157.0,1.8070000000000002,0.28,0.4,16.9,0,0,0.66,0.35,0.48,1,0.17792159069592947,6
2015-01-11_UA1705,2015-01-11,UA,ORD,DEN,19:35,19,41.0,4,4,118.0,0.8612,0.82,0.1388,0.1134,0.133,0.1433,0.4715,1.0,,0,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.62,0.62,0.5,1,0.17792159069592947,6
2015-01-10_UA741,2015-01-10,UA,ORD,SFO,19:41,19,18.3,1,3,85.0,0.8594,0.82,0.1406,0.4407,0.2541,0.0629,0.1017,41.0,,1,0,,1.038,0.0,0.0,34.6,0,0,0.56,0.41,0.72,1,0.17792159069592947,5
2015-01-11_UA1617,2015-01-11,UA,ORD,MSP,19:35,19,42.0,4,3,75.0,0.8563,0.82,0.1437,0.0506,0.1778,0.2007,0.4271,10.0,,0,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.62,0.61,0.44,1,0.17792159069592947,6
2015-01-10_MQ3413,2015-01-10,MQ,ORD,DTW,15:10,15,19.8,1,3,63.0,0.8522,0.82,0.1478,0.2554,0.2147,0.14,0.242,50.0,0.0,1,0,182.0,1.059,0.0,0.0,35.3,0,0,0.44,0.4,0.44,0,0.2893453385856312,5
2015-01-10_MQ3457,2015-01-10,MQ,ORD,ROC,15:20,15,16.7,1,2,39.0,0.8445,0.82,0.1555,0.3499,0.2622,0.107,0.1254,22.0,0.0,1,0,151.0,1.059,0.0,0.0,35.3,0,0,0.46,0.4,0.6875,0,0.2893453385856312,5
2015-01-11_AA335,2015-01-11,AA,ORD,TUS,19:45,19,37.5,4,3,66.0,0.8409,0.82,0.1591,0.134,0.2003,0.1164,0.3901,67.0,,1,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.58,0.34,0.45454545454545453,1,0.17792159069592947,6
2015-01-10_MQ3003,2015-01-10,MQ,ORD,MSN,18:30,18,17.9,1,0,-2.0,0.8401,0.82,0.1599,0.3962,0.2053,0.0975,0.1411,16.0,0.0,1,0,129.0,1.026,0.0,0.0,34.2,0,0,0.58,0.41,0.46,1,0.5639654848996436,5
2015-01-11_UA1282,2015-01-11,UA,ORD,LAX,18:38,18,17.6,1,4,123.0,0.8389,0.82,0.1611,0.3221,0.1934,0.1452,0.1782,0.0,,0,0,,0.6940000000000001,0.07,0.0,17.3,0,0,0.68,0.52,0.44,1,0.8659726130181955,6
2015-01-11_UA685,2015-01-11,UA,ORD,SFO,18:03,18,17.7,1,1,28.0,0.8346,0.82,0.1654,0.3901,0.1918,0.0661,0.1867,2.0,,0,0,,0.6940000000000001,0.07,0.0,17.3,0,0,0.6,0.41,0.68,1,0.8659726130181955,6
2015-01-10_AA87,2015-01-10,AA,ORD,RNO,18:55,18,18.7,4,4,110.0,0.8341,0.82,0.1659,0.1505,0.2263,0.1335,0.3238,93.0,0.0,1,0,184.0,1.026,0.0,0.0,34.2,0,0,0.58,0.42,,1,0.5639654848996436,5
2015-01-11_MQ3611,2015-01-11,MQ,ORD,BUF,17:10,17,18.4,4,2,31.0,0.8339,0.82,0.1661,0.151,0.1371,0.0826,0.4632,196.0,0.0,1,0,291.0,0.582,0.0,0.0,19.4,0,0,0.4,0.25,0.5909090909090909,1,0.6072969424123054,6
2015-01-10_MQ3229,2015-01-10,MQ,ORD,XNA,18:25,18,13.5,1,0,2.0,0.8325,0.82,0.1675,0.2949,0.2491,0.1125,0.176,-9.0,,0,0,,1.026,0.0,0.0,34.2,0,0,0.6,0.41,0.5609756097560976,1,0.5639654848996436,5
2015-01-11_UA690,2015-01-11,UA,ORD,LGA,19:04,19,35.9,4,2,31.0,0.8316,0.82,0.1684,0.1,0.1124,0.1927,0.4266,1.0,0.0,0,0,181.0,1.8070000000000002,0.28,0.4,16.9,0,0,0.64,0.58,0.34,1,0.17792159069592947,6
2015-01-11_UA1136,2015-01-11,UA,ORD,IAH,20:15,20,45.2,4,3,82.0,0.83,0.82,0.17,0.0742,0.0857,0.0818,0.5884,-1.0,,0,0,,1.7980000000000003,0.28,0.4,16.6,0,0,0.48,0.65,0.66,1,0.6072969424123054,6
2015-01-11_MQ3608,2015-01-11,MQ,ORD,GRB,20:55,20,42.7,4,2,32.0,0.8246,0.82,0.1754,0.0883,0.1721,0.1155,0.4487,88.0,0.0,1,0,372.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.52,0.41,0.44,1,0.6072969424123054,6
2015-01-11_MQ3625,2015-01-11,MQ,ORD,CID,21:25,21,35.7,4,4,96.0,0.8219,0.82,0.1781,0.099,0.1345,0.1389,0.4496,52.0,0.0,1,0,117.0,1.4609999999999999,0.21,0.3,16.2,0,0,0.52,0.44,0.46,0,0.17792159069592947,6
2015-01-10_MQ3676,2015-01-10,MQ,ORD,LEX,19:10,19,16.3,2,0,0.0,0.8218,0.82,0.1782,0.2047,0.2996,0.1702,0.1472,0.0,,0,0,,1.038,0.0,0.0,34.6,0,0,0.56,0.42,0.6153846153846154,1,0.17792159069592947,5
2015-01-10_MQ3178,2015-01-10,MQ,ORD,CMH,18:40,18,14.9,0,0,4.0,0.8197,0.82,0.1803,0.4375,0.1873,0.1126,0.0824,4.0,0.0,0,0,266.0,1.026,0.0,0.0,34.2,0,0,0.58,0.41,0.66,1,0.5639654848996436,5
2015-01-10_MQ3466,2015-01-10,MQ,ORD,SYR,18:50,18,13.5,0,1,28.0,0.8192,0.82,0.1808,0.3019,0.2242,0.1333,0.1599,-5.0,0.0,0,0,195.0,1.026,0.0,0.0,34.2,0,0,0.62,0.4,0.56,1,0.5639654848996436,5
2015-01-10_NK903,2015-01-10,NK,ORD,DFW,18:45,18,19.1,0,2,46.0,0.8188,0.82,0.1812,0.1934,0.2532,0.2238,0.1483,61.0,0.0,1,0,184.0,1.026,0.0,0.0,34.2,0,0,0.6,0.52,0.54,1,0.5639654848996436,5
2015-01-11_MQ3435,2015-01-11,MQ,ORD,HPN,18:50,18,18.1,0,1,26.0,0.818,0.82,0.182,0.266,0.1982,0.127,0.2268,71.0,,1,0,,0.6940000000000001,0.07,0.0,17.3,0,0,0.64,0.32,0.358974358974359,1,0.8659726130181955,6
2015-01-11_OO5568,2015-01-11,OO,DEN,TUS,21:56,21,10.9,0,3,75.0,0.8165,0.82,0.1835,0.0626,0.0963,0.1572,0.5003,94.0,0.0,1,0,114.0,0.46599999999999997,0.07,0.0,9.7,0,0,0.42,0.42,0.5111111111111111,0,0.23706673564407657,6
2015-01-11_UA344,2015-01-11,UA,ORD,CLE,21:15,21,34.7,0,2,50.0,0.8148,0.82,0.1852,0.0499,0.0785,0.0625,0.6239,-12.0,,0,0,,1.4609999999999999,0.21,0.3,16.2,0,0,0.54,0.67,0.54,0,0.17792159069592947,6
2015-01-11_AA1459,2015-01-11,AA,ORD,SFO,18:15,18,20.5,0,1,16.0,0.8099,0.82,0.1901,0.2814,0.1738,0.0744,0.2804,75.0,0.0,1,0,236.0,0.6940000000000001,0.07,0.0,17.3,0,0,0.64,0.23,0.68,1,0.8659726130181955,6
2015-01-10_MQ2997,2015-01-10,MQ,ORD,BNA,19:05,19,15.7,0,0,-1.0,0.8063,0.82,0.1937,0.3855,0.2865,0.0616,0.0728,0.0,0.0,0,0,475.0,1.038,0.0,0.0,34.6,0,0,0.58,0.41,0.56,1,0.17792159069592947,5
